file,status,chars,method
Analisis-articulosObjeto.md,ok,15257,markitdown
INFORME modelo ontologico_ARIADNE.md,ok,8836,markitdown
analisis_gapOntologicoGPT.md,ok,37335,markitdown
"artículosJuan/Arqueología _ teorías, métodos y práctica -- Colin Renfrew, Paul Bahn, David Govantes Edwards -- Nueva edición revisada y actualizada, Madrid, 2022 -- isbn13 9788446052593 -- 8849069643b58837d28891bdfa4fa334 -- A.md",ok,2394867,markitdown
"artículosJuan/Binford, L. R. - En busca del pasado. Descifrando el registro arqueológico [ocr] [1991].md",ok,687233,markitdown
artículosJuan/Binford-ArchaeologicalSystematicsStudy-1965.md,ok,34185,markitdown
artículosJuan/Binford-ArchaeologyAnthropology-1962.md,ok,54654,markitdown
artículosJuan/Binford-ConsiderationArchaeologicalResearch-1964.md,ok,89528,markitdown
"artículosJuan/Bintliff, j. (Ed), 2006. A Companion to Archaeology.md",ok,2009674,markitdown
"artículosJuan/Clarke, D. 1968 Analytical-Archaeology.md",ok,1313930,markitdown
"artículosJuan/Cobb, H. et al. (2023) Archaeology-an-introduction-6th ed.md",ok,2076230,markitdown
artículosJuan/Dunnell-SeriationMethodEvaluation-1970.md,ok,67666,markitdown
artículosJuan/Dunnell-StyleFunctionFundamental-1978.md,ok,53532,markitdown
"artículosJuan/Evans, T.L.& Daly, P. 2006. Digital_Archaeology_Bridging_Method_and.md",ok,598880,markitdown
"artículosJuan/Fernández, V., 2000_Teoria_y_Metodo_de_la_Arqueologia.md",ok,838977,markitdown
"artículosJuan/Gamble, C., 2008 Archaeology-the-basics.md",ok,548123,markitdown
"artículosJuan/Grant, J. et al. (2001). The-archaeology-coursebook-an-introduction-to-themes-sites-methods-and-skills-4thnbsped.md",ok,1656254,markitdown
"artículosJuan/Gutiérrez Lloret, S. (2001). Arqueologa. Introduccion ala historia material.md",ok,603963,markitdown
"artículosJuan/Harris, Edward C., 1991 - Principios de estratigrafía arqueológica.md",ok,408552,markitdown
"artículosJuan/Johnson, Matthew 2000. - Teoría arqueológica. Una introducción.md",ok,699279,markitdown
artículosJuan/Manzanilla & Barba. - La Arqueologia. Una vision cientifica del pasado del Hombre [2010].md,ok,153391,markitdown
"artículosJuan/Renfrew, C. & Bahn, P. (Eds.), 2006. ARCHAEOLOGY_THE_KEY_CONCEPTS.md",ok,793799,markitdown
"artículosJuan/Renfrew, Rowlands $ Seagraves (Eds.), 1982. Theory-and-explanation-in-archaeology-the-southhampton-conference.md",ok,1517544,markitdown
artículosJuan/Ruibal & Ayan. - Arqueología [2018].md,ok,1393271,markitdown
artículosJuan/Schiffer-ArchaeologicalContextSystemic-1972.md,ok,39004,markitdown
artículosJuan/Schiffer-ArchaeologyBehavioralScience-1975.md,ok,55037,markitdown
artículosJuan/Schiffer-ExplanationArtifactVariability-1997.md,ok,119525,markitdown
artículosJuan/Schiffer-TowardIdentificationFormation-1983.md,ok,145781,markitdown
"artículosJuan/Smith, Claire et. al. - Manual de campo del arqueólogo OCR.md",ok,1810215,markitdown
artículosJuan/The-concise-oxford-dictionary-of-archaeology.md,ok,2099126,markitdown
artículosJuan/The-oxford-handbook-of-the-archaeology-of-the-contemporary-world.md,ok,2398695,markitdown
"artículosJuan/Trigger, B. G - Historia del pensamiento arqueológico [ocr] [1992].md",ok,1389373,markitdown
"artículosJuan/Urban, P. & Schortman, E., 2012.archaeological-theory-in-practice-1nbsped.md",ok,796149,markitdown
artículosJuan/WW Taylor 1947 Astudy-of-archaeology.md,ok,856766,markitdown
artículosJuan/articulosEnciclopedia/Archaeological Informatics.md,ok,25861,markitdown
artículosJuan/articulosEnciclopedia/Archaeological Record.md,ok,45756,markitdown
artículosJuan/articulosEnciclopedia/Dating Techniques in Archeological science.md,ok,86073,markitdown
artículosJuan/articulosEnciclopedia/Digital Archaeological Data_Ensuring Discovery Access use and Preservation.md,ok,74935,markitdown
artículosJuan/articulosEnciclopedia/Excavation Methods in Archaeology.md,ok,29092,markitdown
artículosJuan/articulosEnciclopedia/Field Method in Archaeology Overview.md,ok,48414,markitdown
artículosJuan/articulosEnciclopedia/Materiality in Archaeological Theory .md,ok,42557,markitdown
artículosJuan/articulosEnciclopedia/Middle-Range Theory in Archaeology.md,ok,21933,markitdown
artículosJuan/articulosEnciclopedia/Processualism in Archaeological Theory.md,ok,44686,markitdown
artículosJuan/articulosEnciclopedia/Publication in Field.md,ok,17613,markitdown
artículosJuan/articulosEnciclopedia/Recording in Archaeology.md,ok,25435,markitdown
"artículosJuan/articulosEnciclopedia/Schiffer, M.B.md",ok,16565,markitdown
artículosJuan/articulosEnciclopedia/Sequence and Date  in Field Archaeology.md,ok,24758,markitdown
modelo idearq_v3b.md,ok,39904,markitdown
objetoArqueologico/2949238.md,ok,47045,markitdown
objetoArqueologico/BF03376602.md,ok,153044,markitdown
objetoArqueologico/Maria_Filomena_Guerra_2003_Meas._Sci._Technol._14_1527.md,ok,72163,markitdown
objetoArqueologico/Non-invasive studies of objects from cultural heritage.md,ok,32110,markitdown
objetoArqueologico/On Pastness_A Reconsideration of Materiality in Archaeological objects.md,ok,47250,markitdown
objetoArqueologico/Provenance Determination of Archaeological metal objects.md,ok,87244,markitdown
objetoArqueologico/Things in the Eye of the Beholder_A humanistic perspective on archaeological object biographies.md,ok,80639,markitdown
objetoArqueologico/What do objects what.md,ok,47806,markitdown
objetoArqueologico/analisis-articulos-notebooklm.md,ok,15257,markitdown
objetoArqueologico/csa_vol_23_2015_s85-108_garcia-rovira.md,ok,62120,markitdown
objetoArqueologico/pollard2014.md,ok,26248,markitdown
objetoArqueologico/returning-archaeological-objects-to-italy.md,ok,104528,markitdown
objetoArqueologico/rowe1959.md,ok,23976,markitdown
objetoArqueologico/schwarcz2002.md,ok,65727,markitdown
objetoArqueologico/sharing_conservation_decisions_2018_web.md,ok,622250,markitdown
ontologyLLM.md,ok,65203,markitdown
